module,source_files,review_status,owner,reviewer,follow_up
.github/workflows,3,not_reviewed,unassigned,unassigned,QLT-02
apps/api/README.md,1,not_reviewed,unassigned,unassigned,QLT-02
apps/api/cloudbuild.yaml,1,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src,7,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/ai,11,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/article,9,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/auth,28,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/badge,7,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/card,13,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/card-state,8,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/challenge,9,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/collection,10,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/collection-item,11,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/common,29,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/dashboard,6,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/deck,17,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/deck-card,8,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/deck-format,6,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/faq,7,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/feed,5,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/helpers,2,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/mail,5,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/marketplace,47,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/match,57,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/migrations,14,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/mini-game,4,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/notification,17,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/player,8,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/pokemon-card,10,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/pokemon-series,9,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/pokemon-set,9,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/ranking,9,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/scan,19,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/scripts,17,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/sealed-product,11,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/search,7,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/seed,12,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/statistics,9,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/storage,1,not_reviewed,unassigned,unassigned,QLT-02
apps/api/src/support-message,1,not_reviewed,unassigned,unassigned,QLT-02
